10,1000,125.6,117.2
10,2000,354.8,412.4
10,3000,2369.2,507.8
10,4000,10478.6,1018
10,5000,13286.4,1345.4
10,6000,25790.2,2543.6
10,7000,40452.2,1387
10,8000,53474.8,3518.6
10,9000,5867.4,4638.8
10,10000,42358.6,5472
10,20000,82674,18020
10,30000,44117,27095.2
10,40000,72715.8,68402.2
10,50000,136993,139763
10,60000,173742,177834
10,70000,182436,139464
10,80000,11737,254317
10,90000,47048,32153.4
10,100000,50694.6,33254.2

100,1000,355.8,113.6
100,2000,267.6,1400.4
100,3000,2121.4,1173
100,4000,2911.8,718.6
100,5000,2266.8,4751.6
100,6000,2127,2937.6
100,7000,1812.4,2579.2
100,8000,1117.4,1474
100,9000,221.4,96
100,10000,3538.6,82.6
100,20000,8645.8,274.2
100,30000,1213.4,749.6
100,40000,1542.6,927.8
100,50000,2377,2633.4
100,60000,3433.4,2586.2
100,70000,3924,2855.4
100,80000,4701,3389.8
100,90000,5781.4,6662
100,100000,6677,9107.6

1000,1000,224,119.8
1000,2000,76,601.4
1000,3000,73.6,147.8
1000,4000,78.8,936.6
1000,5000,56.8,535.6
1000,6000,304,98.8
1000,7000,150.8,1204.6
1000,8000,1135,966.8
1000,9000,261.2,233.6
1000,10000,559.6,1162.2
1000,20000,425,23.8
1000,30000,1081.6,36.6
1000,40000,721.6,31.6
1000,50000,1188,42.8
1000,60000,968.4,44.6
1000,70000,1110.2,67.4
1000,80000,1327.2,89.8
1000,90000,1482.4,1360.8
1000,100000,1616.6,122

